goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
Defeat all Lizalfos in Dodongo's Cavern,42,28,66.7,1:23:36,8,28.6
5 Compasses,33,22,66.7,1:21:16,5,22.7
Obtain all 5 Small Keys in Shadow Temple,71,47,66.2,1:23:11,5,10.6
Fire Temple Boss Key,68,45,66.2,1:22:44,8,17.8
Both HPs in Lost Woods,32,21,65.6,1:24:53,3,14.3
Forest Medallion,29,19,65.5,1:24:32,4,21.1
5 Unused Keys in Gerudo Training Grounds,26,17,65.4,1:20:57,5,29.4
7 Hearts (no duping),43,28,65.1,1:26:03,4,14.3
Lon Lon Ranch HP,37,24,64.9,1:17:06,6,25.0
All 4 Market area Skulltulas,74,48,64.9,1:22:50,9,18.8
Map & Compass in Bottom of the Well,57,37,64.9,1:20:10,9,24.3
Map & Compass in Jabu-Jabu,34,22,64.7,1:21:33,5,22.7
6 Maps,34,22,64.7,1:23:33,2,9.1
30 Deku Nuts,62,40,64.5,1:20:18,7,17.5
Din's Fire,95,61,64.2,1:22:52,13,21.3
Epona's Song,33,21,63.6,1:21:07,2,9.5
Megaton Hammer,52,33,63.5,1:20:30,6,18.2
Fire Medallion,60,38,63.3,1:24:20,3,7.9
All 4 Lost Woods area Skulltulas,30,19,63.3,1:17:34,8,42.1
Map & Compass in Spirit Temple,62,39,62.9,1:23:37,6,15.4
3 Shields & 3 Boots,110,69,62.7,1:22:59,11,15.9
Open the Final Door of Light Trial,16,10,62.5,1:23:27,3,30.0
1 Skulltula from each Adult Dungeon,100,62,62.0,1:27:23,10,16.1
Water Temple Boss Key,21,13,61.9,1:20:51,3,23.1
500 Rupees,23,14,60.9,1:30:00,2,14.3
Map & Compass in Ice Cavern,23,14,60.9,1:18:30,5,35.7
Defeat Nabooru-Knuckle,28,17,60.7,1:31:13,3,17.6
Defeat 4 Different Iron Knuckles,60,36,60.0,1:26:36,8,22.2
Minuet of Forest,45,27,60.0,1:24:04,7,25.9
Defeat Queen Gohma,25,15,60.0,1:28:00,2,13.3
7 Different Unused Keys in Gerudo Training Grounds,52,31,59.6,1:22:01,8,25.8
3 Boss Keys,22,13,59.1,1:26:39,1,7.7
4 Compasses,22,13,59.1,1:17:02,3,23.1
All 4 Wasteland/ Colossus area Skulltulas,44,26,59.1,1:23:50,5,19.2
Open 5 Gold Rupee Chests,34,20,58.8,1:23:45,2,10.0
3 Swords & 3 Shields,51,30,58.8,1:32:00,4,13.3
Desert Colossus HP,29,17,58.6,1:20:10,5,29.4
Both Hyrule Field area Skulltulas,29,17,58.6,1:17:31,4,23.5
Requiem of Spirit,36,21,58.3,1:23:43,4,19.0
Double Defense,38,22,57.9,1:17:49,7,31.8
3 Shields & 3 Tunics,56,32,57.1,1:19:48,6,18.8
Beat Dodongo's Cavern,30,17,56.7,1:25:36,3,17.6
3 Tunics & 3 Boots,16,9,56.2,1:35:49,0,0.0
All 5 Skulltulas in Spirit Temple,41,23,56.1,1:21:25,5,21.7
6 Hearts,25,14,56.0,1:25:20,2,14.3
All 5 Skulltulas in Dodongo's Cavern,36,20,55.6,1:21:00,3,15.0
All 4 Child Skulltulas in Zora's Domain Area,18,10,55.6,1:35:54,0,0.0
7 Maps,56,31,55.4,1:25:02,8,25.8
Exactly 30 Deku Sticks,76,42,55.3,1:22:46,8,19.0
Boomerang,31,17,54.8,1:25:02,2,11.8
Ice Cavern HP,22,12,54.5,1:24:29,1,8.3
3 Lake Hylia Skulltulas,22,12,54.5,1:21:16,2,16.7
All 4 Skulltulas in Jabu-Jabu,33,18,54.5,1:21:03,2,11.1
Water Medallion,24,13,54.2,1:27:19,0,0.0
Map & Compass in Dodongo's Cavern,50,27,54.0,1:28:48,4,14.8
8 Different Unused Keys in Gerudo Training Grounds,41,22,53.7,1:17:53,8,36.4
37th Heart Piece (Child Fortress),28,15,53.6,1:20:45,3,20.0
3 Shields,43,23,53.5,1:28:49,5,21.7
Bronze Gauntlets,30,16,53.3,1:25:16,2,12.5
Defeat Barinade,32,17,53.1,1:24:07,2,11.8
Blue Fire,21,11,52.4,1:27:42,2,18.2
All 3 Kokiri Forest area Skulltulas,25,13,52.0,1:24:59,4,30.8
Ruto's Letter,31,16,51.6,1:24:58,3,18.8
3 Swords & 3 Boots,31,16,51.6,1:23:05,3,18.8
Quiver (50),76,39,51.3,1:20:56,12,30.8
All 3 Elemental Arrows,247,126,51.0,1:23:38,33,26.2
Light Arrows,55,28,50.9,1:23:34,3,10.7
Bullet Bag (50),59,30,50.8,1:22:46,7,23.3
Defeat Morpha,26,13,50.0,1:21:28,2,15.4
Golden Gauntlets,24,12,50.0,1:19:38,3,25.0
2 Skulltulas in Lon Lon Ranch,52,26,50.0,1:24:20,2,7.7
6 Songs,20,10,50.0,1:21:49,0,0.0
Defeat Volvagia,82,41,50.0,1:20:45,10,24.4
Open 50 Rupee chest in Wasteland,22,11,50.0,1:31:27,0,0.0
Map & Compass in Shadow Temple,22,11,50.0,1:22:45,1,9.1
Fill all 4 Bottle Slots,30,15,50.0,1:20:15,2,13.3
3 Skulltulas in Water Temple,49,24,49.0,1:20:49,5,20.8
Win Bombchu Bowling Prize,45,22,48.9,1:25:28,4,18.2
3 Tunics,43,21,48.8,1:25:14,3,14.3
Green Gauntlets,187,91,48.7,1:25:33,15,16.5
8 Songs,37,18,48.6,1:26:33,2,11.1
Giant's Wallet,29,14,48.3,1:22:05,2,14.3
All 4 Adult Zora's Domain area Skulltulas,25,12,48.0,1:26:00,3,25.0
Open All 6 Gold Rupee Chests,153,73,47.7,1:23:16,11,15.1
Defeat King Dodongo,21,10,47.6,1:28:45,2,20.0
Plant 5 Magic Beans,40,19,47.5,1:21:43,3,15.8
2 Boss Keys,19,9,47.4,1:33:38,0,0.0
Beat the Water Temple,34,16,47.1,1:26:33,3,18.8
Ganon's Castle Boss Key,66,31,47.0,1:31:17,1,3.2
Beat Jabu-Jabu's Belly,32,15,46.9,1:29:39,3,20.0
All 5 Skulltulas in Fire Temple,64,30,46.9,1:21:07,5,16.7
All 5 Skulltulas in Water Temple,77,36,46.8,1:22:55,7,19.4
Beat the Shadow Temple,30,14,46.7,1:16:37,4,28.6
5 Hearts,45,21,46.7,1:23:22,3,14.3
Bolero of Fire,52,24,46.2,1:24:50,4,16.7
Open the Final Door of Spirit Trial,50,23,46.0,1:21:12,7,30.4
Clear 8 Silver Rupee Rooms,48,22,45.8,1:24:09,5,22.7
Mirror Shield,33,15,45.5,1:20:58,3,20.0
Defeat Dark Link,40,18,45.0,1:27:38,2,11.1
Bomb Bag (30),40,18,45.0,1:24:36,1,5.6
Obtain all 8 Small Keys in Fire Temple,52,23,44.2,1:26:40,3,13.0
Beat the Fire Temple,66,29,43.9,1:25:04,2,6.9
Defeat Twinrova,89,39,43.8,1:20:43,7,17.9
Lens of Truth,46,20,43.5,1:21:20,3,15.0
Both Rusty Switches in Spirit Temple,128,55,43.0,1:24:32,6,10.9
Clear 10 Silver Rupee Rooms,133,56,42.1,1:26:16,9,16.1
Forest Temple Boss Key,48,19,39.6,1:26:46,4,21.1
Blue Potion,28,11,39.3,1:21:50,3,27.3
All 5 Lake Hylia Skulltulas,74,29,39.2,1:21:42,7,24.1
Goron Bracelet,105,41,39.0,1:29:38,3,7.3
Cow in House,34,13,38.2,1:18:16,4,30.8
Open the Final Door of Water Trial,63,24,38.1,1:23:43,4,16.7
Open the Final Door of Shadow Trial,50,19,38.0,1:25:03,4,21.1
Longshot,37,14,37.8,1:17:04,6,42.9
All 8 Zora's Domain area Skulltulas,74,28,37.8,1:25:49,3,10.7
Blue Gauntlets,16,6,37.5,1:41:16,0,0.0
All 4 Lon Lon Ranch area Skulltulas,32,12,37.5,1:32:41,1,8.3
All 4 Skulltulas in Deku Tree,32,12,37.5,1:27:02,0,0.0
Defeat a Skull Kid,40,15,37.5,1:25:23,2,13.3
Beat the Spirit Temple,132,49,37.1,1:24:31,8,16.3
Defeat Bongo-Bongo,27,10,37.0,1:17:42,4,40.0
All 8 Kakariko area Skulltulas,38,14,36.8,1:38:42,2,14.3
"3 Swords, Tunics, Boots, and Shields",159,58,36.5,1:22:05,8,13.8
Defeat Meg (purple Poe),22,8,36.4,1:27:58,1,12.5
7 Magic Beans,22,8,36.4,1:27:43,0,0.0
Beat the Forest Temple,25,9,36.0,1:23:21,1,11.1
5 Magic Beans,61,21,34.4,1:23:32,3,14.3
Defeat Meg (Purple Poe),48,16,33.3,1:24:03,3,18.8
All 5 Skulltulas in Forest Temple,39,13,33.3,1:29:54,1,7.7
Fire Arrows,33,11,33.3,1:32:16,0,0.0
Map & Compass in Fire Temple,34,11,32.4,1:22:33,3,27.3
Open the Final Door of Fire Trial,28,9,32.1,1:30:39,3,33.3
Spirit Temple Boss Key,25,8,32.0,1:22:37,0,0.0
Bullet Bag (40),22,7,31.8,1:23:40,1,14.3
All 8 Death Mountain area Skulltulas,41,13,31.7,1:27:53,0,0.0
Defeat Amy (Green Poe),19,6,31.6,1:24:31,1,16.7
Stone of Agony,29,9,31.0,1:25:24,0,0.0
All 4 Child Zora's Domain area Skulltulas,26,8,30.8,1:33:31,1,12.5
Giant's Knife,26,8,30.8,1:32:31,1,12.5
Exactly 20 Deku Sticks,49,15,30.6,1:20:50,3,20.0
Fairy Slingshot,23,7,30.4,1:25:26,1,14.3
Open the Final Door of Forest Trial,33,10,30.3,1:20:51,2,20.0
7 Different Bottled Contents,20,6,30.0,1:28:22,0,0.0
Keaton Mask,34,10,29.4,1:27:29,1,10.0
Both Gerudo's Fortress area Skulltulas,18,5,27.8,1:26:15,0,0.0
All 4 Gerudo Valley area Skulltulas,40,10,25.0,1:27:07,2,20.0
Plant bean in Death Mountain Crater,25,5,20.0,1:26:17,0,0.0
Milk,16,3,18.8,1:19:58,0,0.0
3 Songs,10,1,10.0,1:22:50,0,0.0
