goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
7 Songs,34,45,132.4,1:20:23,12,26.7
15 Different Skulltulas,31,36,116.1,1:25:23,4,11.1
Get Bombchu chest in Spirit Temple,22,25,113.6,1:19:57,7,28.0
Silver Gauntlets,38,40,105.3,1:18:35,11,27.5
Two Fairy Spells,76,77,101.3,1:18:41,22,28.6
Defeat Big Octo,22,22,100.0,1:21:26,2,9.1
Zora Tunic,51,50,98.0,1:19:49,13,26.0
Farore's Wind,42,40,95.2,1:22:46,9,22.5
Both HPs in Death Mountain Crater,42,40,95.2,1:21:13,5,12.5
4 Songs,20,19,95.0,1:22:46,6,31.6
4 Unused Keys in Gerudo Training Grounds,32,30,93.8,1:24:01,6,20.0
6 Different Unused Keys in Gerudo Training Grounds,32,30,93.8,1:19:38,4,13.3
Defeat a White Wolfos,13,12,92.3,1:17:30,4,33.3
8 Hearts (no duping),99,91,91.9,1:23:26,9,9.9
6 Compasses,62,56,90.3,1:19:11,15,26.8
3 Unused Keys in Gerudo Training Grounds,18,16,88.9,1:15:54,5,31.2
Ice Arrows,30,26,86.7,1:20:21,5,19.2
All 4 Adult Skulltulas in Zora's Domain Area,7,6,85.7,1:23:40,1,16.7
10 Songs,132,112,84.8,1:19:04,30,26.8
5 Maps,32,27,84.4,1:20:24,2,7.4
Open 2 Boss Key Doors,27,22,81.5,1:20:01,5,22.7
7 Compasses,107,86,80.4,1:20:23,17,19.8
Beat the Deku Tree,20,16,80.0,1:27:26,1,6.2
All 5 Skulltulas in Shadow Temple,48,38,79.2,1:17:47,9,23.7
9 Hearts (no duping),139,110,79.1,1:19:31,24,21.8
Silver Scale,47,37,78.7,1:25:40,4,10.8
All 3 Skulltulas in Ice Cavern,23,18,78.3,1:18:08,7,38.9
Map & Compass in Deku Tree,23,18,78.3,1:23:38,1,5.6
Iron Boots,23,18,78.3,1:20:48,4,22.2
Clear 4 Silver Rupee Rooms,18,14,77.8,1:16:50,4,28.6
20 Different Skulltulas,36,28,77.8,1:23:56,6,21.4
30 Different Skulltulas,205,158,77.1,1:24:28,26,16.5
Defeat Phantom Ganon,21,16,76.2,1:18:55,3,18.8
Both Gerudo Valley HPs,25,19,76.0,1:22:20,2,10.5
Goron Tunic,41,31,75.6,1:22:15,4,12.9
4 Skulltulas in Shadow Temple,57,43,75.4,1:21:49,9,20.9
9 Songs,40,30,75.0,1:18:48,7,23.3
1 Unused Small Key in each Adult Dungeon,59,44,74.6,1:22:37,3,6.8
All 3 Skulltulas in Bottom of the Well,73,54,74.0,1:22:16,11,20.4
Saria's Song,57,42,73.7,1:25:25,11,26.2
1 Skulltula from each Child Dungeon,38,28,73.7,1:21:24,7,25.0
5 Zora area HPs,44,32,72.7,1:23:22,7,21.9
Gerudo's Card,29,21,72.4,1:15:33,8,38.1
Quiver (40),53,38,71.7,1:19:39,12,31.6
Bottled Fairy,35,25,71.4,1:19:58,9,36.0
Double Magic,28,20,71.4,1:20:04,5,25.0
Shadow Temple Boss Key,28,20,71.4,1:23:37,5,25.0
Nayru's Love,51,36,70.6,1:21:47,5,13.9
3 Swords & 3 Tunics,27,19,70.4,1:24:55,2,10.5
3 Boots,27,19,70.4,1:20:48,6,31.6
Map & Compass in Water Temple,20,14,70.0,1:26:48,3,21.4
Fairy Bow,30,21,70.0,1:26:53,6,28.6
Map & Compass in Forest Temple,56,39,69.6,1:24:43,5,12.8
4 Unused Keys in Forest Temple,29,20,69.0,1:21:21,4,20.0
Defeat both Flare Dancers,29,20,69.0,1:26:26,1,5.0
Open 3 Boss Key Doors,61,42,68.9,1:25:40,6,14.3
Frog's HP,19,13,68.4,1:22:16,1,7.7
Free all 9 Gorons in Fire Temple,63,43,68.3,1:23:03,12,27.9
Obtain all 5 Small Keys in Forest Temple,49,33,67.3,1:19:58,7,21.2
Open 3 Gold Rupee Chests,78,52,66.7,1:23:33,16,30.8
4 Maps,12,8,66.7,1:26:49,1,12.5
