,goal combination,count,pick count
87,"['2 Skulltulas in Lon Lon Ranch', '30 Different Skulltulas']",10,3
88,"['1 Skulltula from each Adult Dungeon', 'Minuet of Forest']",10,2
89,"['30 Different Skulltulas', '4 Skulltulas in Shadow Temple']",10,2
90,"['4 Skulltulas in Shadow Temple', 'All 5 Skulltulas in Fire Temple']",10,2
91,"['Minuet of Forest', 'Obtain all 5 Small Keys in Shadow Temple']",10,3
92,"['3 Swords, Tunics, Boots, and Shields', 'Fire Medallion']",10,1
93,"['7 Compasses', 'Obtain all 5 Small Keys in Shadow Temple']",10,3
94,"['1 Skulltula from each Child Dungeon', '30 Different Skulltulas']",10,2
95,"['All 3 Elemental Arrows', 'Lon Lon Ranch HP']",10,1
96,"['8 Hearts (no duping)', 'Silver Scale']",10,1
97,"['30 Different Skulltulas', 'Get to the end of Spirit Trial']",10,1
98,"['1 Skulltula from each Adult Dungeon', 'Megaton Hammer']",10,1
99,"['3 Swords, Tunics, Boots, and Shields', 'Map & Compass in Bottom of the Well']",10,3
100,"['All 5 Skulltulas in Shadow Temple', 'Ganons Castle Boss Key']",10,1
101,"['3 Skulltulas in Water Temple', 'Defeat Twinrova']",10,1
102,"['9 Hearts (no duping)', 'Obtain all 5 Small Keys in Shadow Temple']",10,1
103,"['30 Different Skulltulas', 'Open 3 Gold Rupee Chests']",10,1
104,"['Both Rusty Switches in Spirit Temple', 'Map & Compass in Forest Temple']",10,1
105,"['All 3 Elemental Arrows', 'All 5 Skulltulas in Fire Temple']",9,2
106,"['30 Different Skulltulas', 'Obtain all 5 Small Keys in Forest Temple']",9,1
107,"['All 5 Skulltulas in Fire Temple', 'Map & Compass in Bottom of the Well']",9,1
108,"['Map & Compass in Bottom of the Well', 'Quiver (50)']",9,1
109,"['All 3 Elemental Arrows', 'Beat the Fire Temple']",9,1
110,"['30 Different Skulltulas', '8 Different Unused Keys in Gerudo Training Grounds']",9,3
111,"['1 Skulltula from each Adult Dungeon', 'Silver Scale']",9,1
112,"['1 Skulltula from each Adult Dungeon', 'Goron Bracelet']",9,2
113,"['5 Zora area HPs', '7 Compasses']",9,1
114,"['3 Tunics', 'Dins Fire']",9,1
