goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
3 Shields,11,5,1,45.5,20.0,1:46:54,1,20.0
Map & Compass in Shadow Temple,11,5,3,45.5,60.0,1:27:57,2,40.0
Beat Dodongo's Cavern,9,4,2,44.4,50.0,1:30:07,0,0.0
All 5 Skulltulas in Spirit Temple,9,4,4,44.4,100.0,1:13:57,3,75.0
Fill all 4 Bottle Slots,9,4,4,44.4,100.0,1:15:07,2,50.0
5 Hearts,18,8,4,44.4,50.0,1:26:42,1,12.5
7 Different Unused Keys in Gerudo Training Grounds,16,7,3,43.8,42.9,1:17:40,3,42.9
7 Hearts,16,7,2,43.8,28.6,1:21:36,2,28.6
Beat the Forest Temple,7,3,2,42.9,66.7,1:30:20,0,0.0
Defeat Meg (purple Poe),14,6,2,42.9,33.3,1:33:14,1,16.7
All 3 Kokiri Forest area Skulltulas,7,3,3,42.9,100.0,1:11:59,2,66.7
4 Songs,7,3,0,42.9,0.0,1:40:30,0,0.0
5 Unused Keys in Gerudo Training Grounds,7,3,2,42.9,66.7,1:34:38,0,0.0
All 3 Elemental Arrows,33,14,7,42.4,50.0,1:24:30,3,21.4
30 Different Skulltulas,52,22,11,42.3,50.0,1:25:15,3,13.6
Get to the end of Shadow Trial,24,10,5,41.7,50.0,1:18:21,3,30.0
Silver Scale,24,10,6,41.7,60.0,1:20:28,4,40.0
Beat the Fire Temple,22,9,7,40.9,77.8,1:22:07,1,11.1
Cow in House,10,4,3,40.0,75.0,1:14:25,2,50.0
Megaton Hammer,10,4,2,40.0,50.0,1:22:02,1,25.0
Map & Compass in Fire Temple,5,2,2,40.0,100.0,1:20:31,1,50.0
Ruto's Letter,5,2,1,40.0,50.0,1:15:27,1,50.0
Defeat Big Octo,5,2,0,40.0,0.0,1:34:30,0,0.0
1 Skulltula from each Adult Dungeon,38,15,9,39.5,60.0,1:17:46,6,40.0
Quiver (50),28,11,7,39.3,63.6,1:20:17,2,18.2
Open All 6 Gold Rupee Chests,36,14,10,38.9,71.4,1:19:11,3,21.4
7 Compasses,37,14,6,37.8,42.9,1:25:32,5,35.7
Defeat King Dodongo,8,3,2,37.5,66.7,1:17:19,1,33.3
Water Temple Boss Key,8,3,2,37.5,66.7,1:24:01,0,0.0
All 3 Skulltulas in Ice Cavern,8,3,2,37.5,66.7,1:13:00,2,66.7
"3 Swords, Tunics, Boots, and Shields",43,16,8,37.2,50.0,1:30:59,1,6.2
8 Different Unused Keys in Gerudo Training Grounds,19,7,3,36.8,42.9,1:16:30,3,42.9
Beat the Spirit Temple,38,14,8,36.8,57.1,1:20:16,3,21.4
3 Shields & 3 Tunics,11,4,1,36.4,25.0,1:16:48,2,50.0
Lens of Truth,11,4,1,36.4,25.0,1:37:42,0,0.0
2 Skulltulas in Lon Lon Ranch,14,5,3,35.7,60.0,1:19:09,2,40.0
Defeat Barinade,14,5,3,35.7,60.0,1:16:49,1,20.0
4 Skulltulas in Shadow Temple,17,6,4,35.3,66.7,1:24:54,1,16.7
Clear 4 Silver Rupee Rooms,6,2,1,33.3,50.0,1:15:32,1,50.0
Both Gerudo's Fortress area Skulltulas,9,3,2,33.3,66.7,1:09:48,2,66.7
Desert Colossus HP,6,2,1,33.3,50.0,1:30:12,0,0.0
5 Compasses,6,2,2,33.3,100.0,1:17:44,0,0.0
Get Bombchu chest in Spirit Temple,6,2,2,33.3,100.0,1:12:55,2,100.0
20 Different Skulltulas,9,3,0,33.3,0.0,1:46:02,0,0.0
Bottled Fairy,9,3,2,33.3,66.7,1:21:48,1,33.3
Map & Compass in Spirit Temple,18,6,4,33.3,66.7,1:12:49,4,66.7
7 Maps,3,1,1,33.3,100.0,1:20:00,0,0.0
30 Deku Nuts,12,4,3,33.3,75.0,1:09:50,4,100.0
Golden Gauntlets,3,1,0,33.3,0.0,1:18:20,0,0.0
Giant's Wallet,3,1,1,33.3,100.0,1:14:40,1,100.0
Blue Potion,3,1,0,33.3,0.0,1:24:55,0,0.0
3 Shields & 3 Boots,19,6,2,31.6,33.3,1:20:25,2,33.3
Ganon's Castle Boss Key,19,6,2,31.6,33.3,1:52:11,0,0.0
Free all 9 Gorons in Fire Temple,13,4,1,30.8,25.0,1:28:28,0,0.0
Open 50 Rupee chest in Wasteland,10,3,2,30.0,66.7,1:18:42,1,33.3
Defeat 4 Different Iron Knuckles,20,6,3,30.0,50.0,1:21:02,3,50.0
Defeat Twinrova,20,6,2,30.0,33.3,1:21:00,0,0.0
Open 3 Boss Key Doors,10,3,0,30.0,0.0,1:29:25,0,0.0
Goron Bracelet,24,7,2,29.2,28.6,1:42:06,0,0.0
6 Maps,7,2,1,28.6,50.0,1:33:07,0,0.0
Longshot,14,4,2,28.6,50.0,1:39:39,0,0.0
Bolero of Fire,14,4,3,28.6,75.0,1:20:06,1,25.0
Epona's Song,7,2,2,28.6,100.0,1:09:37,2,100.0
7 Songs,7,2,1,28.6,50.0,1:04:05,2,100.0
3 Swords & 3 Boots,7,2,0,28.6,0.0,1:30:49,0,0.0
Stone of Agony,7,2,0,28.6,0.0,2:14:21,0,0.0
Defeat Volvagia,21,6,4,28.6,66.7,1:26:37,1,16.7
Zora Tunic,14,4,3,28.6,75.0,1:37:55,1,25.0
Goron Tunic,11,3,3,27.3,100.0,1:20:41,0,0.0
Bomb Bag (30),11,3,1,27.3,33.3,1:46:02,1,33.3
Open 5 Gold Rupee Chests,15,4,3,26.7,75.0,1:26:05,1,25.0
Get to the end of Water Trial,19,5,5,26.3,100.0,1:18:17,2,40.0
Clear 10 Silver Rupee Rooms,31,8,4,25.8,50.0,1:27:41,2,25.0
Blue Gauntlets,8,2,1,25.0,50.0,1:38:01,0,0.0
Green Gauntlets,24,6,3,25.0,50.0,1:37:47,0,0.0
Defeat a White Wolfos,4,1,1,25.0,100.0,1:31:17,0,0.0
7 Different Bottled Contents,4,1,1,25.0,100.0,1:25:21,0,0.0
All 4 Lon-Lon Ranch area Skulltulas,8,2,0,25.0,0.0,1:42:20,0,0.0
