goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Forest Temple Boss Key,2,0,0,0.0,0.0,nan,0,0.0
Golden Gauntlets,2,0,0,0.0,0.0,nan,0,0.0
Megaton Hammer,2,0,0,0.0,0.0,nan,0,0.0
Fairy Slingshot,2,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Bottom of the Well,2,0,0,0.0,0.0,nan,0,0.0
Defeat Meg (purple Poe),2,0,0,0.0,0.0,nan,0,0.0
Clear 10 Silver Rupee Rooms,2,0,0,0.0,0.0,nan,0,0.0
Bomb Bag (30),2,0,0,0.0,0.0,nan,0,0.0
Beat the Water Temple,2,0,0,0.0,0.0,nan,0,0.0
Open All 6 Gold Rupee Chests,2,0,0,0.0,0.0,nan,0,0.0
Beat the Forest Temple,2,0,0,0.0,0.0,nan,0,0.0
Beat the Fire Temple,2,0,0,0.0,0.0,nan,0,0.0
Two Fairy Spells,2,0,0,0.0,0.0,nan,0,0.0
All 8 Zora's Domain area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
Defeat Twinrova,2,0,0,0.0,0.0,nan,0,0.0
Longshot,2,0,0,0.0,0.0,nan,0,0.0
All 8 Kakariko area Skulltulas,3,0,0,0.0,0.0,nan,0,0.0
Green Gauntlets,3,0,0,0.0,0.0,nan,0,0.0
Light Arrows,3,0,0,0.0,0.0,nan,0,0.0
Zora Tunic,2,0,0,0.0,0.0,nan,0,0.0
5 Maps,2,0,0,0.0,0.0,nan,0,0.0
All 4 Market area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Ice Cavern,1,0,0,0.0,0.0,nan,0,0.0
Ruto's Letter,1,0,0,0.0,0.0,nan,0,0.0
Silver Scale,1,0,0,0.0,0.0,nan,0,0.0
1 Unused Small Key in each Adult Dungeon,1,0,0,0.0,0.0,nan,0,0.0
Water Temple Boss Key,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Shadow Temple,1,0,0,0.0,0.0,nan,0,0.0
Get to the end of Light Trial,1,0,0,0.0,0.0,nan,0,0.0
5 Hearts,1,0,0,0.0,0.0,nan,0,0.0
4 Unused Keys in Forest Temple,1,0,0,0.0,0.0,nan,0,0.0
Keaton Mask,1,0,0,0.0,0.0,nan,0,0.0
All 3 Skulltulas in Bottom of the Well,2,0,0,0.0,0.0,nan,0,0.0
Lens of Truth,1,0,0,0.0,0.0,nan,0,0.0
37th Heart Piece (Child Fortress),1,0,0,0.0,0.0,nan,0,0.0
3 Swords & 3 Tunics,1,0,0,0.0,0.0,nan,0,0.0
3 Swords & 3 Shields,1,0,0,0.0,0.0,nan,0,0.0
3 Tunics,1,0,0,0.0,0.0,nan,0,0.0
All 8 Death Mountain area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
All 3 Kokiri Forest area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
3 Shields & 3 Tunics,2,0,0,0.0,0.0,nan,0,0.0
Bullet Bag (50),1,0,0,0.0,0.0,nan,0,0.0
