goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Map & Compass in Water Temple,1,2,1,200.0,50.0,1:12:57,1,50.0
5 Unused Keys in Gerudo Training Grounds,1,2,1,200.0,50.0,1:10:23,1,50.0
1 Skulltula from each Child Dungeon,4,6,3,150.0,50.0,1:11:14,4,66.7
Obtain all 5 Small Keys in Shadow Temple,2,3,2,150.0,66.7,1:08:43,2,66.7
Map & Compass in Deku Tree,2,2,1,100.0,50.0,1:19:32,1,50.0
Exactly 20 Deku Sticks,3,3,1,100.0,33.3,1:13:08,2,66.7
5 Magic Beans,3,3,2,100.0,66.7,1:08:40,2,66.7
Double Defense,2,2,1,100.0,50.0,1:14:56,1,50.0
Shadow Temple Boss Key,2,2,1,100.0,50.0,1:12:14,2,100.0
Open 5 Gold Rupee Chests,2,2,1,100.0,50.0,1:08:09,2,100.0
9 Songs,2,2,1,100.0,50.0,1:07:07,2,100.0
3 Lake Hylia Skulltulas,2,2,2,100.0,100.0,1:04:48,2,100.0
All 5 Skulltulas in Fire Temple,2,2,1,100.0,50.0,1:12:57,1,50.0
All 5 Skulltulas in Water Temple,2,2,1,100.0,50.0,1:09:58,1,50.0
Map & Compass in Spirit Temple,1,1,0,100.0,0.0,1:17:00,0,0.0
Open 3 Gold Rupee Chests,1,1,0,100.0,0.0,1:33:24,0,0.0
Plant 5 Magic Beans,1,1,0,100.0,0.0,1:13:08,1,100.0
Cow in House,1,1,0,100.0,0.0,1:12:48,1,100.0
Defeat Amy (Green Poe),1,1,1,100.0,100.0,1:11:24,1,100.0
3 Boss Keys,1,1,0,100.0,0.0,1:17:00,0,0.0
15 Different Skulltulas,1,1,1,100.0,100.0,1:04:41,1,100.0
Fill all 4 Bottle Slots,1,1,1,100.0,100.0,1:08:40,1,100.0
Fire Arrows,1,1,1,100.0,100.0,1:05:40,1,100.0
Beat the Deku Tree,1,1,0,100.0,0.0,1:17:49,0,0.0
Both Gerudo's Fortress area Skulltulas,1,1,0,100.0,0.0,1:12:32,1,100.0
Giant's Wallet,1,1,0,100.0,0.0,1:11:10,1,100.0
All 4 Gerudo Valley area Skulltulas,1,1,0,100.0,0.0,1:11:10,1,100.0
Both Hyrule Field area Skulltulas,1,1,1,100.0,100.0,1:04:04,1,100.0
Desert Colossus HP,1,1,1,100.0,100.0,1:08:40,1,100.0
7 Hearts,1,1,1,100.0,100.0,1:04:41,1,100.0
Map & Compass in Dodongo's Cavern,1,1,1,100.0,100.0,1:09:20,1,100.0
Both HPs in Death Mountain Crater,3,3,2,100.0,66.7,1:05:43,3,100.0
Defeat Nabooru-Knuckle,1,1,1,100.0,100.0,1:09:20,1,100.0
9 Hearts (no duping),6,6,2,100.0,33.3,1:10:04,5,83.3
1 Skulltula from each Adult Dungeon,7,6,4,85.7,66.7,1:08:00,5,83.3
Defeat a White Wolfos,4,3,2,75.0,66.7,1:10:35,3,100.0
Beat the Fire Temple,3,2,1,66.7,50.0,1:08:21,2,100.0
Minuet of Forest,3,2,1,66.7,50.0,1:14:56,1,50.0
