goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
All 4 Lost Woods area Skulltulas,8,9,7,112.5,77.8,1:16:51,4,44.4
4 Maps,1,1,0,100.0,0.0,1:24:06,0,0.0
Open 2 Boss Key Doors,5,5,2,100.0,40.0,1:34:09,0,0.0
All 3 Skulltulas in Ice Cavern,1,1,0,100.0,0.0,2:05:50,0,0.0
Open the Final Door of Light Trial,2,2,1,100.0,50.0,1:29:08,0,0.0
3 Unused Keys in Gerudo Training Grounds,3,3,2,100.0,66.7,1:15:47,1,33.3
Double Magic,4,4,1,100.0,25.0,1:26:40,0,0.0
Beat the Deku Tree,4,4,2,100.0,50.0,1:22:14,1,25.0
All 5 Skulltulas in Shadow Temple,15,14,6,93.3,42.9,1:23:26,2,14.3
Open 5 Gold Rupee Chests,9,8,4,88.9,50.0,1:39:47,1,12.5
Open 3 Boss Key Doors,14,12,6,85.7,50.0,1:32:13,2,16.7
Two Fairy Spells,23,19,12,82.6,63.2,1:20:57,5,26.3
7 Songs,10,8,4,80.0,50.0,1:16:31,3,37.5
Map & Compass in Deku Tree,5,4,2,80.0,50.0,1:28:54,0,0.0
Iron Boots,4,3,2,75.0,66.7,1:14:32,2,66.7
Silver Scale,18,13,6,72.2,46.2,1:34:59,2,15.4
Map & Compass in Bottom of the Well,10,7,5,70.0,71.4,1:17:02,3,42.9
5 Compasses,10,7,4,70.0,57.1,1:16:03,3,42.9
20 Different Skulltulas,12,8,3,66.7,37.5,1:25:20,0,0.0
Giant's Wallet,3,2,1,66.7,50.0,1:25:29,1,50.0
Water Temple Boss Key,3,2,2,66.7,100.0,1:27:28,1,50.0
6 Maps,11,7,3,63.6,42.9,1:20:56,2,28.6
6 Different Unused Keys in Gerudo Training Grounds,8,5,2,62.5,40.0,1:15:47,2,40.0
1 Skulltula from each Child Dungeon,8,5,2,62.5,40.0,1:24:02,1,20.0
2 Skulltulas in Lon Lon Ranch,8,5,2,62.5,40.0,1:38:10,0,0.0
Zora Tunic,13,8,5,61.5,62.5,1:20:13,3,37.5
1 Skulltula from each Adult Dungeon,18,11,6,61.1,54.5,1:18:25,2,18.2
Defeat Phantom Ganon,5,3,2,60.0,66.7,1:15:54,0,0.0
3 Tunics & 3 Boots,5,3,1,60.0,33.3,1:15:58,1,33.3
500 Rupees,10,6,4,60.0,66.7,1:19:42,3,50.0
Get Bombchu chest in Spirit Temple,10,6,2,60.0,33.3,1:25:12,1,16.7
7 Different Unused Keys in Gerudo Training Grounds,10,6,5,60.0,83.3,1:11:37,4,66.7
Obtain all 8 Small Keys in Fire Temple,12,7,3,58.3,42.9,1:34:59,1,14.3
3 Tunics,14,8,5,57.1,62.5,1:26:10,1,12.5
Ice Cavern HP,9,5,3,55.6,60.0,1:24:43,1,20.0
Boomerang,9,5,1,55.6,20.0,1:24:00,1,20.0
Defeat Volvagia,15,8,4,53.3,50.0,1:17:02,3,37.5
9 Hearts (no duping),42,22,13,52.4,59.1,1:17:33,6,27.3
3 Boss Keys,8,4,3,50.0,75.0,1:31:38,0,0.0
All 4 Skulltulas in Jabu-Jabu,8,4,2,50.0,50.0,1:20:18,1,25.0
Lon Lon Ranch HP,8,4,2,50.0,50.0,1:12:11,2,50.0
3 Swords & 3 Tunics,8,4,1,50.0,25.0,1:38:18,0,0.0
Shadow Temple Boss Key,8,4,3,50.0,75.0,1:15:03,2,50.0
All 3 Kokiri Forest area Skulltulas,4,2,1,50.0,50.0,1:25:49,1,50.0
Map & Compass in Spirit Temple,16,8,3,50.0,37.5,1:23:42,1,12.5
Both Gerudo's Fortress area Skulltulas,4,2,1,50.0,50.0,1:16:59,0,0.0
Bottled Fairy,4,2,2,50.0,100.0,1:14:27,2,100.0
Beat the Fire Temple,18,9,5,50.0,55.6,1:18:11,2,22.2
Bolero of Fire,18,9,2,50.0,22.2,1:32:30,0,0.0
Defeat Morpha,8,4,2,50.0,50.0,1:54:56,1,25.0
Map & Compass in Forest Temple,14,7,1,50.0,14.3,1:39:56,0,0.0
30 Different Skulltulas,57,28,9,49.1,32.1,1:30:44,5,17.9
3 Shields,11,5,2,45.5,40.0,1:33:28,1,20.0
9 Songs,11,5,2,45.5,40.0,1:16:30,1,20.0
Defeat Dark Link,11,5,2,45.5,40.0,1:19:51,1,20.0
5 Zora area HPs,11,5,3,45.5,60.0,1:22:47,1,20.0
Frog's HP,9,4,3,44.4,75.0,1:17:20,1,25.0
Ice Arrows,9,4,4,44.4,100.0,1:35:26,0,0.0
5 Maps,9,4,2,44.4,50.0,1:33:18,1,25.0
Free all 9 Gorons in Fire Temple,18,8,7,44.4,87.5,1:21:48,2,25.0
Longshot,14,6,4,42.9,66.7,1:13:39,4,66.7
5 Magic Beans,14,6,4,42.9,66.7,1:28:31,2,33.3
Exactly 30 Deku Sticks,14,6,2,42.9,33.3,1:22:01,1,16.7
Defeat a White Wolfos,7,3,0,42.9,0.0,1:34:59,0,0.0
Beat the Water Temple,12,5,3,41.7,60.0,1:39:08,1,20.0
7 Compasses,29,12,10,41.4,83.3,1:31:36,1,8.3
Defeat 4 Different Iron Knuckles,17,7,4,41.2,57.1,1:26:41,2,28.6
Defeat Amy (Green Poe),5,2,0,40.0,0.0,1:42:49,0,0.0
5 Unused Keys in Gerudo Training Grounds,5,2,1,40.0,50.0,1:21:49,0,0.0
Open 3 Gold Rupee Chests,20,8,6,40.0,75.0,1:19:54,2,25.0
15 Different Skulltulas,10,4,1,40.0,25.0,1:38:42,0,0.0
8 Songs,10,4,1,40.0,25.0,1:33:58,0,0.0
Golden Gauntlets,5,2,1,40.0,50.0,1:16:05,1,50.0
Map & Compass in Dodongo's Cavern,10,4,3,40.0,75.0,1:16:23,1,25.0
3 Swords & 3 Boots,5,2,2,40.0,100.0,1:13:06,1,50.0
Defeat Nabooru-Knuckle,5,2,0,40.0,0.0,1:45:58,0,0.0
Ruto's Letter,5,2,2,40.0,100.0,1:27:47,0,0.0
Light Arrows,15,6,4,40.0,66.7,1:33:54,0,0.0
Map & Compass in Ice Cavern,5,2,0,40.0,0.0,1:27:05,0,0.0
2 Boss Keys,5,2,0,40.0,0.0,2:00:11,0,0.0
Defeat a Skull Kid,10,4,1,40.0,25.0,1:35:29,1,25.0
Map & Compass in Shadow Temple,5,2,1,40.0,50.0,1:36:28,0,0.0
6 Compasses,18,7,4,38.9,57.1,1:25:00,0,0.0
Stone of Agony,13,5,3,38.5,60.0,1:34:08,0,0.0
Obtain all 5 Small Keys in Forest Temple,13,5,2,38.5,40.0,1:14:16,3,60.0
3 Shields & 3 Tunics,13,5,4,38.5,80.0,1:19:15,2,40.0
Lens of Truth,13,5,4,38.5,80.0,1:15:44,2,40.0
All 4 Child Zora's Domain area Skulltulas,13,5,3,38.5,60.0,1:44:15,1,20.0
Quiver (40),13,5,4,38.5,80.0,1:14:16,3,60.0
7 Maps,13,5,0,38.5,0.0,1:39:56,0,0.0
All 8 Zora's Domain area Skulltulas,21,8,4,38.1,50.0,1:33:28,0,0.0
Defeat Queen Gohma,8,3,1,37.5,33.3,1:28:25,1,33.3
All 5 Skulltulas in Dodongo's Cavern,8,3,3,37.5,100.0,1:41:05,0,0.0
Open All 6 Gold Rupee Chests,52,19,7,36.5,36.8,1:26:58,3,15.8
Both HPs in Death Mountain Crater,11,4,1,36.4,25.0,1:19:46,2,50.0
Silver Gauntlets,11,4,2,36.4,50.0,1:25:52,0,0.0
