goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Map & Compass in Spirit Temple,2,0,0,0.0,0.0,nan,0,0.0
Defeat 4 Different Iron Knuckles,2,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Dodongo's Cavern,2,0,0,0.0,0.0,nan,0,0.0
Both Rusty Switches in Spirit Temple,2,0,0,0.0,0.0,nan,0,0.0
Fill all 4 Bottle Slots,1,0,0,0.0,0.0,nan,0,0.0
All 5 Skulltulas in Water Temple,2,0,0,0.0,0.0,nan,0,0.0
Defeat Nabooru-Knuckle,2,0,0,0.0,0.0,nan,0,0.0
All 5 Lake Hylia Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
5 Magic Beans,3,0,0,0.0,0.0,nan,0,0.0
Open All 6 Gold Rupee Chests,3,0,0,0.0,0.0,nan,0,0.0
All 4 Lon Lon Ranch area Skulltulas,3,0,0,0.0,0.0,nan,0,0.0
Goron Bracelet,3,0,0,0.0,0.0,nan,0,0.0
5 Hearts,2,0,0,0.0,0.0,nan,0,0.0
5 Zora area HPs,2,0,0,0.0,0.0,nan,0,0.0
7 Compasses,2,0,0,0.0,0.0,nan,0,0.0
7 Different Unused Keys in Gerudo Training Grounds,2,0,0,0.0,0.0,nan,0,0.0
Longshot,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Ice Cavern,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Water Temple,1,0,0,0.0,0.0,nan,0,0.0
Open 50 Rupee chest in Wasteland,1,0,0,0.0,0.0,nan,0,0.0
Open the Final Door of Fire Trial,1,0,0,0.0,0.0,nan,0,0.0
Plant bean in Death Mountain Crater,1,0,0,0.0,0.0,nan,0,0.0
Stone of Agony,1,0,0,0.0,0.0,nan,0,0.0
Water Temple Boss Key,1,0,0,0.0,0.0,nan,0,0.0
Green Gauntlets,6,0,0,0.0,0.0,nan,0,0.0
1 Skulltula from each Adult Dungeon,1,0,0,0.0,0.0,nan,0,0.0
Gerudo's Card,1,0,0,0.0,0.0,nan,0,0.0
Ganon's Castle Boss Key,1,0,0,0.0,0.0,nan,0,0.0
Giant's Knife,1,0,0,0.0,0.0,nan,0,0.0
Epona's Song,2,0,0,0.0,0.0,nan,0,0.0
All 3 Skulltulas in Bottom of the Well,2,0,0,0.0,0.0,nan,0,0.0
Zora Tunic,1,0,0,0.0,0.0,nan,0,0.0
